"Sortierung","cd","Quartiername"
11,11,Rathaus
12,12,Hochschulen
13,13,Lindenhof
14,14,City
21,21,Wollishofen
23,23,Leimbach
24,24,Enge
31,31,Alt-Wiedikon
33,33,Friesenberg
34,34,Sihlfeld
41,41,Werd
42,42,Langstrasse
44,44,Hard
51,51,Gewerbeschule
52,52,Escher Wyss
61,61,Unterstrass
63,63,Oberstrass
71,71,Fluntern
72,72,Hottingen
73,73,Hirslanden
74,74,Witikon
81,81,Seefeld
82,82,Mühlebach
83,83,Weinegg
91,91,Albisrieden
92,92,Altstetten
101,101,Höngg
102,102,Wipkingen
111,111,Affoltern
115,115,Oerlikon
119,119,Seebach
121,121,Saatlen
122,122,Schwamendingen-Mitte
123,123,Hirzenbach
