"Vermögen p50","Vermögen p25","Vermögen p75"
20.0,0.0,150.0
196.0,30.0,794.0
24.0,0.0,406.0
28.5,0.0,186.0
236.0,41.0,711.0
nan,nan,nan
57.0,2.0,322.0
307.0,32.0,1480.0
13.0,0.0,97.0
44.0,0.0,268.0
39.0,4.0,185.0
139.5,35.0,427.5
6.0,0.0,52.0
31.0,2.0,138.0
120.0,25.5,370.0
11.0,0.0,58.5
38.0,1.0,212.0
201.0,34.0,726.3
9.0,0.0,99.0
23.0,0.0,114.0
63.0,0.0,265.0
1.0,0.0,43.0
21.0,0.0,96.0
77.0,13.0,207.0
2.0,0.0,39.0
14.0,0.0,85.0
39.0,0.0,186.0
0.0,0.0,22.0
10.0,0.0,67.0
15.0,0.0,149.0
0.0,0.0,28.5
5.0,0.0,95.0
0.0,0.0,9.0
8.0,0.0,59.0
9.0,0.0,94.0
0.0,0.0,12.0
6.0,0.0,50.0
13.0,0.0,103.5
0.0,0.0,23.0
9.0,0.0,67.0
40.5,0.0,211.0
9.5,0.0,88.0
35.0,2.0,151.0
116.0,20.0,342.0
10.0,0.0,65.0
46.0,4.0,222.0
249.0,48.0,879.0
40.0,2.0,210.0
70.0,7.0,438.0
474.0,105.0,1766.0
81.5,6.0,327.0
49.0,4.0,276.0
288.0,61.5,1099.0
30.0,0.0,156.0
44.0,6.0,211.0
220.0,51.0,807.0
23.0,0.0,105.0
77.0,10.0,360.0
297.0,82.0,928.0
35.0,0.0,189.0
34.0,0.0,180.0
163.5,34.0,538.0
18.0,0.0,89.0
34.0,2.0,167.0
188.0,28.0,608.0
20.0,0.0,108.0
38.0,2.0,222.0
189.0,24.0,813.0
6.0,0.0,129.0
34.0,2.0,151.0
124.0,24.0,349.0
6.0,0.0,44.0
16.0,0.0,94.0
59.0,0.0,212.0
0.0,0.0,19.0
49.0,5.0,226.0
165.0,37.0,494.0
17.0,0.0,93.5
22.0,0.0,103.0
70.0,0.0,271.0
6.0,0.0,39.0
17.0,0.0,90.0
78.0,8.0,234.0
3.0,0.0,44.0
23.0,0.0,122.0
92.0,4.0,342.0
5.0,0.0,54.0
15.0,0.0,94.0
67.0,0.0,224.0
0.0,0.0,20.0
13.0,0.0,68.0
43.0,0.0,148.0
1.0,0.0,22.0
16.0,0.0,88.0
52.0,0.0,208.0
0.0,0.0,17.0
17.0,0.0,70.0
53.5,2.0,186.0
1.0,0.0,21.0
20.5,0.0,149.0
210.5,32.0,782.0
56.5,4.0,394.0
33.0,0.0,180.0
275.0,68.0,956.0
66.0,4.0,315.0
306.0,31.0,1362.0
12.0,0.0,94.0
50.0,3.0,232.0
40.0,5.0,195.0
144.0,32.0,433.0
8.0,0.0,64.0
30.0,2.0,143.0
116.0,20.0,393.0
8.0,0.0,54.0
39.0,1.0,215.0
201.0,32.0,743.0
7.0,0.0,113.0
23.0,0.0,113.0
63.0,0.0,280.0
1.0,0.0,50.0
21.0,0.0,98.0
77.0,10.0,209.0
6.0,0.0,37.0
16.0,0.0,87.0
34.5,0.0,187.0
13.0,0.0,71.0
16.0,0.0,140.0
0.0,0.0,34.0
4.0,0.0,39.0
6.0,0.0,90.0
0.0,0.0,16.0
8.0,0.0,56.0
9.0,0.0,86.0
0.0,0.0,11.0
15.5,0.0,106.0
0.0,0.0,29.0
12.0,0.0,74.0
32.0,0.0,218.0
1.5,0.0,78.0
34.0,2.0,155.0
115.0,18.0,346.0
11.0,0.0,67.0
47.0,5.0,222.5
260.0,57.0,921.0
65.5,6.0,235.5
74.0,8.0,447.0
524.0,125.0,1875.0
73.0,6.0,267.0
49.0,5.0,270.0
295.0,67.0,1133.0
29.0,0.0,196.0
45.0,7.0,218.0
229.0,52.5,844.5
22.0,0.0,116.0
76.0,11.0,362.0
292.5,79.0,964.0
40.0,0.0,178.0
35.0,2.0,195.0
199.0,34.0,558.0
34.5,0.0,118.0
38.0,2.0,176.0
195.0,44.0,626.0
30.0,1.0,147.0
41.5,4.0,235.5
188.0,22.0,816.0
21.0,0.0,136.0
34.0,2.0,154.0
126.0,24.0,355.0
9.0,0.0,55.5
16.0,0.0,95.0
55.0,0.0,213.0
0.0,0.0,21.0
49.0,5.0,228.0
174.0,39.0,522.5
16.0,0.0,85.0
22.83,0.0,100.0
67.0,0.0,275.0
6.0,0.0,43.0
78.0,6.0,241.0
23.0,0.0,119.0
88.0,5.0,333.0
6.0,0.0,53.5
15.0,0.0,91.0
61.0,0.0,232.0
14.0,0.0,65.0
40.0,0.0,153.0
2.0,0.0,23.0
14.52,0.0,86.0
55.0,0.0,208.0
16.0,0.0,74.0
51.0,0.0,183.0
23.0,0.0,141.5
213.5,35.0,779.0
48.0,3.0,326.0
36.0,0.0,205.0
286.0,57.0,1052.0
55.0,5.0,302.0
311.5,61.5,1268.5
14.0,0.0,70.5
59.5,9.0,277.0
39.0,5.0,182.0
147.5,31.0,430.0
11.0,0.0,60.0
31.0,2.0,151.0
116.5,19.5,368.0
8.0,0.0,41.0
39.0,2.0,208.0
218.5,36.0,745.0
11.5,0.0,125.0
24.0,0.0,109.0
64.5,0.0,279.0
5.0,0.0,56.0
20.0,0.0,97.0
77.0,10.0,208.0
4.0,0.0,43.0
34.0,0.0,185.0
2.0,0.0,25.0
15.0,0.0,74.0
17.5,0.0,121.0
0.0,0.0,27.0
5.0,0.0,45.0
5.0,0.0,92.0
8.0,0.0,86.0
10.0,0.0,58.0
16.0,0.0,120.0
0.0,0.0,26.5
14.5,0.0,76.0
38.0,0.0,231.0
5.5,0.0,45.0
35.0,3.0,149.0
118.0,21.0,344.0
14.0,0.0,76.0
49.0,6.0,223.0
252.0,57.0,893.0
58.0,7.0,230.0
78.0,9.0,429.0
512.5,119.0,1896.0
48.0,0.0,220.0
54.0,5.0,274.0
304.0,67.0,1056.0
42.0,0.0,250.0
45.0,6.0,206.0
217.0,48.0,797.0
21.0,0.0,114.0
78.5,13.0,361.0
300.0,73.0,909.0
42.0,2.0,162.0
38.0,2.0,190.0
205.0,32.0,533.0
30.0,0.0,163.0
41.0,3.0,178.5
204.0,46.0,612.0
36.0,2.0,120.0
44.0,6.0,215.0
177.0,23.0,813.0
27.5,0.0,170.0
125.0,22.0,348.0
11.0,0.0,54.0
16.0,0.0,92.0
53.0,0.0,209.0
48.0,5.0,227.0
175.5,40.0,515.0
19.0,0.0,95.0
25.0,0.0,105.0
72.0,1.0,282.0
9.0,0.0,52.79
17.0,0.0,85.0
74.0,5.0,241.0
4.0,0.0,46.0
24.0,0.0,117.0
85.5,4.0,315.5
7.0,0.0,52.0
14.0,0.0,87.0
59.0,0.0,230.0
1.0,0.0,25.0
15.0,0.0,71.0
43.5,0.0,156.5
47.0,0.0,204.0
0.0,0.0,13.0
17.0,0.0,79.0
49.0,0.0,187.0
23.0,0.0,144.5
206.0,31.5,657.0
52.0,3.0,224.0
39.0,0.0,240.0
300.5,52.5,1020.0
58.0,6.0,286.0
273.5,57.0,1225.5
13.0,0.0,74.0
79.0,13.0,324.0
11.0,0.0,56.0
37.0,4.0,171.0
148.0,30.0,426.0
9.0,0.0,65.0
30.0,2.0,142.51
111.0,18.5,352.0
8.0,0.0,50.5
35.5,3.0,187.0
196.0,33.0,708.0
12.0,0.0,198.5
23.0,0.0,103.0
58.0,0.0,259.0
1.0,0.0,48.0
20.0,0.0,95.0
72.0,7.0,195.0
5.0,0.0,40.0
16.0,0.0,86.0
32.0,0.0,183.0
1.0,0.0,28.0
19.0,0.0,130.0
1.0,0.0,51.0
4.0,0.0,44.0
3.0,0.0,81.0
7.0,0.0,53.0
7.0,0.0,83.0
0.0,0.0,10.0
9.0,0.0,58.0
14.0,0.0,113.0
0.0,0.0,28.0
54.0,0.0,211.0
34.0,3.0,141.0
113.0,16.0,330.0
15.0,0.0,83.0
49.0,6.0,218.0
237.0,53.0,875.0
51.0,8.0,230.0
75.0,7.0,407.0
512.0,111.0,1883.0
63.5,2.0,269.0
53.0,6.0,266.0
286.5,69.0,1049.0
35.0,0.0,220.0
44.0,7.0,189.0
197.0,50.0,745.0
28.0,0.0,120.0
75.0,10.0,330.0
284.0,67.0,845.0
45.0,1.0,217.0
37.0,1.0,171.0
190.0,29.0,553.0
30.0,0.0,133.0
36.0,2.0,169.5
204.0,45.0,670.0
34.0,2.0,141.0
40.5,4.0,199.0
167.0,23.0,724.0
17.0,0.0,117.0
31.0,2.0,144.0
115.0,19.0,335.0
8.0,0.0,45.0
16.0,0.0,90.0
46.0,0.0,198.0
44.0,5.0,204.0
170.73,40.0,496.0
21.0,0.0,88.0
23.0,0.0,102.0
66.0,0.0,260.0
7.0,0.0,46.0
73.0,4.0,232.0
3.0,0.0,37.0
22.0,0.0,110.0
82.0,2.0,309.0
13.0,0.0,83.0
50.0,0.0,219.0
1.0,0.0,26.5
12.0,0.0,67.0
37.0,0.0,148.0
0.5,0.0,21.0
15.0,0.0,89.0
43.0,0.0,198.0
